recency,frequency,monetary,r_rank_norm,f_rank_norm,m_rank_norm,RFM_score,customer_segment
215,1,392.94,53.87,43.48,90.25,3.58,Medium
151,1,170.08,69.18,43.48,69.72,3.11,Medium
406,2,371.98,18.58,91.93,89.58,3.98,Medium
126,1,232.88,75.41,43.48,80.41,3.47,Medium
71,1,107.32,86.93,43.48,48.99,2.66,Low
216,1,144.5,53.55,43.48,62.55,2.79,Low
426,2,408.12,15.9,91.93,90.69,3.99,Medium
225,1,84.17,51.22,43.48,37.99,2.08,Low
226,1,197.65,50.95,43.48,75.34,3.14,Medium
512,1,192.65,6.48,43.48,74.33,2.78,Low
307,1,62.59,32.76,43.48,24.8,1.56,lost customers
54,1,75.51,90.01,43.48,33.41,2.24,Low
267,1,33.0,42.88,43.48,5.39,1.08,lost customers
112,1,336.09,79.21,43.48,87.89,3.71,Medium
352,1,72.05,26.14,43.48,31.2,1.69,Low
43,1,78.35,92.56,43.48,35.27,2.31,Low
286,1,90.28,37.94,43.48,41.22,2.07,Low
71,1,71.04,86.93,43.48,30.64,2.13,Low
565,1,215.7,2.42,43.48,78.19,2.86,Low
280,1,175.82,39.78,43.48,71.07,2.93,Low
240,1,23.4,47.46,43.48,1.22,1.0,lost customers
375,1,248.71,22.94,43.48,82.01,3.12,Medium
237,1,187.57,48.51,43.48,73.36,3.06,Medium
223,1,68.42,51.86,43.48,29.08,1.83,Low
138,1,105.77,72.55,43.48,48.24,2.53,Low
147,2,329.32,69.99,91.93,87.58,4.31,High
442,1,158.38,14.08,43.48,66.49,2.61,Low
204,1,83.41,55.99,43.48,37.6,2.1,Low
200,2,276.12,57.31,91.93,84.21,4.12,High
687,1,45.01,0.21,43.48,13.49,0.99,lost customers
260,2,218.04,43.99,91.93,78.6,3.86,Medium
71,1,209.36,86.93,43.48,77.22,3.46,Medium
418,1,484.94,17.07,43.48,92.66,3.38,Medium
460,1,131.04,12.26,43.48,58.04,2.35,Low
132,1,379.35,73.76,43.48,89.85,3.72,Medium
524,1,330.27,5.62,43.48,87.63,3.15,Medium
186,1,103.37,61.02,43.48,47.16,2.41,Low
534,1,204.52,4.71,43.48,76.46,2.82,Low
125,1,195.55,75.83,43.48,74.96,3.31,Medium
86,1,58.27,83.78,43.48,22.25,1.87,Low
114,1,98.44,78.6,43.48,44.88,2.48,Low
433,1,37.44,15.07,43.48,8.39,0.96,lost customers
270,1,125.52,42.51,43.48,56.23,2.53,Low
251,1,98.51,45.12,43.48,44.91,2.23,Low
16,1,25.79,99.67,43.48,1.82,1.41,lost customers
120,1,535.07,77.1,43.48,93.59,3.85,Medium
510,1,185.6,6.66,43.48,72.93,2.74,Low
372,1,97.72,23.21,43.48,44.51,2.05,Low
383,1,70.58,21.9,43.48,30.34,1.64,Low
37,1,189.19,93.99,43.48,73.72,3.41,Medium
169,1,240.58,64.85,43.48,81.26,3.41,Medium
286,5,601.75,37.94,99.41,94.51,4.37,High
196,2,680.4,58.25,91.93,95.52,4.45,High
51,1,193.22,90.36,43.48,74.45,3.41,Medium
139,1,57.69,72.23,43.48,21.81,1.77,Low
50,2,217.76,90.79,91.93,78.55,4.21,High
161,1,37.38,66.7,43.48,8.36,1.35,lost customers
